pmProductId,productName,legacyProductId
PA00000001,다이렉트5G 38,NA00007164
PA00000002,다이렉트LTE 22,NA00007166
PA00000003,다이렉트LTE 35,NA00007167
PA00000004,다이렉트LTE 48,NA00007168
PA00000005,다이렉트5G 52,NA00007183
PA00000006,다이렉트5G 42,NA00007625
PA00000007,다이렉트5G 34,NA00007626
PA00000008,다이렉트5G 48,NA00008098
PA00000009,다이렉트5G 55,NA00008099
PA00000010,다이렉트5G 69,NA00008100
PA00000011,다이렉트LTE 30,NA00008101
PA00000012,다이렉트5G 62,NA00008104
PA00000013,다이렉트5G 27,NA00008683
PA00000014,다이렉트5G 31,NA00008684
PA00000015,0플랜 라지,NA00006157
PA00000016,T플랜 시니어 스페셜,NA00006797
PA00000017,T플랜 시니어 에센스,NA00006796
PA00000018,0 청년 59 100GB업,NA00008272
PA00000019,0 청년 59 36GB업,NA00008274
PA00000020,0 청년 59 60GB업,NA00008273
PA00000021,0 청년 59 15GB업,NA00008275
PA00000022,표준요금제,NA00002200
PA00000023,band 데이터 세이브,NA00004769
PA00000024,band 데이터 1.2G,NA00004770
PA00000025,band 데이터 2.2G,NA00004771
PA00000026,band 데이터 3.5G,NA00004772
PA00000027,band 데이터 6.5G,NA00004773
PA00000028,band 데이터 퍼펙트,NA00004775
PA00000029,ZEM플랜 스마트,NA00004891
PA00000030,band 데이터 퍼펙트S,NA00005134
PA00000031,ZEM플랜 라이트,NA00005889
PA00000032,스몰,NA00005955
PA00000033,미디엄,NA00005956
PA00000034,라지,NA00005957
PA00000035,패밀리,NA00005958
PA00000036,Data 인피니티,NA00005959
PA00000037,레귤러,NA00006324
PA00000038,0플랜 히어로,NA00006400
PA00000039,0플랜 슈퍼히어로,NA00006401
PA00000040,5GX스탠다드,NA00006403
PA00000041,(구)5GX프라임,NA00006404
PA00000042,(구)5GX플래티넘,NA00006405
PA00000043,T플랜 세이브,NA00006534
PA00000044,T플랜 안심2.5G,NA00006535
PA00000045,T플랜 안심4G,NA00006536
PA00000046,T플랜 에센스,NA00006537
PA00000047,T플랜 스페셜,NA00006538
PA00000048,T플랜 맥스,NA00006539
PA00000049,0틴 5G,NA00006817
PA00000050,5GX 레귤러,NA00007300
PA00000051,5GX 레귤러플러스,NA00007301
PA00000052,ZEM플랜 베스트,NA00007485
PA00000053,0틴플랜 라지,NA00007488
PA00000054,0틴플랜 미디엄플러스,NA00007489
PA00000055,0틴플랜 미디엄,NA00007490
PA00000056,0틴플랜 스몰,NA00007491
PA00000057,5G ZEM플랜 퍼펙트,NA00007492
PA00000058,5G ZEM플랜 베스트,NA00007493
PA00000059,베이직플러스,NA00007621
PA00000060,5GX 플래티넘,NA00007789
PA00000061,5GX 프라임,NA00007790
PA00000062,5G 시니어 A형,NA00008208
