groupName,pmProductId,legacyProductId,productName
TING_PRCPLN,PA00000015,NA00006157,0플랜 라지
TING_PRCPLN,PA00000018,NA00008272,0 청년 59 100GB업
TING_PRCPLN,PA00000019,NA00008274,0 청년 59 36GB업
TING_PRCPLN,PA00000020,NA00008273,0 청년 59 60GB업
TING_PRCPLN,PA00000021,NA00008275,0 청년 59 15GB업
TING_PRCPLN,PA00000029,NA00004891,ZEM플랜 스마트
TING_PRCPLN,PA00000031,NA00005889,ZEM플랜 라이트
TING_PRCPLN,PA00000038,NA00006400,0플랜 히어로
TING_PRCPLN,PA00000039,NA00006401,0플랜 슈퍼히어로
TING_PRCPLN,PA00000049,NA00006817,0틴 5G
TING_PRCPLN,PA00000052,NA00007485,ZEM플랜 베스트
TING_PRCPLN,PA00000053,NA00007488,0틴플랜 라지
TING_PRCPLN,PA00000054,NA00007489,0틴플랜 미디엄플러스
TING_PRCPLN,PA00000055,NA00007490,0틴플랜 미디엄
TING_PRCPLN,PA00000056,NA00007491,0틴플랜 스몰
TING_PRCPLN,PA00000057,NA00007492,5G ZEM플랜 퍼펙트
TING_PRCPLN,PA00000058,NA00007493,5G ZEM플랜 베스트
TING_PRCPLN,PA00000065,NA00008140,0 청년 89
TING_PRCPLN,PA00000068,NA00008727,0 청년 99(넷플릭스)
TING_PRCPLN,PA00000069,NA00008728,0 청년 89(넷플릭스)
TING_PRCPLN,PA00000074,NA00008730,0 청년 다이렉트 69(넷플릭스)
TING_PRCPLN,PA00000075,NA00008731,0 청년 다이렉트 62(넷플릭스)
TING_PRCPLN,PA00000076,NA00008676,0 청년 109
TING_PRCPLN,PA00000079,NA00008726,0 청년 109(넷플릭스)
TING_PRCPLN,PA00000081,NA00008677,0 청년 37
TING_PRCPLN,PA00000086,NA00008145,0 청년 49
TING_PRCPLN,PA00000087,NA00008160,0 청년 다이렉트 34
TING_PRCPLN,PA00000088,NA00008285,0 청년 다이렉트 30
TING_PRCPLN,PA00000089,NA00008287,0 청년 43
TING_PRCPLN,PA00000090,NA00008154,0 청년 다이렉트 69
